frame,pan,tilt
0,80.66,9.1
1,80.66,9.1
2,80.66,9.1
3,80.66,9.1
4,80.66,9.1
5,80.66,9.1
6,80.66,9.1
7,80.66,9.1
8,80.66,9.1
9,80.66,9.1
10,80.66,9.1
11,80.66,9.1
12,80.66,9.1
13,80.66,9.1
14,80.66,9.1
15,80.66,9.1
16,80.66,9.1
17,80.66,9.1
18,80.66,9.1
19,80.66,9.1
20,80.66,9.1
21,80.66,9.1
22,80.66,9.1
23,80.66,9.1
24,80.66,9.1
25,80.66,9.1
26,80.66,9.1
27,80.66,9.1
28,80.66,9.1
29,80.66,9.1
30,80.66,9.1
31,80.66,9.1
32,80.66,9.1
33,80.66,9.1
34,80.66,9.1
35,80.66,9.1
36,80.66,9.1
37,80.66,9.1
38,80.66,9.1
39,80.66,9.1
40,80.66,9.1
41,80.66,9.1
42,80.66,9.1
43,80.66,9.1
44,80.66,9.1
45,80.66,9.1
46,80.66,9.1
47,80.66,9.1
48,80.66,9.1
49,80.66,9.1
50,80.66,9.1
51,80.66,9.1
52,80.66,9.1
53,80.66,9.1
54,80.66,9.1
55,80.66,9.1
56,80.66,9.1
57,80.66,9.1
58,80.66,9.1
59,80.66,9.1
60,80.66,9.1
61,80.66,9.1
62,80.66,9.1
63,80.66,9.1
64,80.66,9.1
65,80.66,9.1
66,80.66,9.1
67,80.66,9.1
68,80.66,9.1
69,80.66,9.1
70,80.66,9.1
71,80.66,9.1
72,80.67,9.1
73,80.67,9.1
74,80.67,9.1
75,80.67,9.1
76,80.67,9.1
77,80.67,9.1
78,80.67,9.1
79,80.67,9.1
80,80.67,9.1
81,80.67,9.1
82,80.67,9.1
83,80.67,9.1
84,80.67,9.1
85,80.66,9.09
86,80.66,9.09
87,80.66,9.07
88,80.66,9.07
89,80.67,9.04
90,80.67,9.04
91,80.7,9
92,80.7,9
93,80.72,8.98
94,80.72,8.98
95,80.74,8.95
96,80.74,8.95
97,80.76,8.93
98,80.82,8.85
99,80.82,8.85
100,80.82,8.85
101,80.87,8.79
102,80.89,8.76
103,80.89,8.76
104,80.94,8.7
105,80.98,8.64
106,81.02,8.58
107,81.04,8.55
108,81.06,8.52
109,81.06,8.52
110,81.09,8.46
111,81.1,8.42
112,81.12,8.4
113,81.12,8.4
114,81.12,8.4
115,81.13,8.37
116,81.14,8.33
117,81.16,8.29
118,81.16,8.29
119,81.17,8.27
120,81.19,8.23
121,81.19,8.23
122,81.19,8.22
123,81.19,8.22
124,81.2,8.2
125,81.21,8.18
126,81.22,8.16
127,81.22,8.15
128,81.22,8.15
129,81.24,8.11
130,81.24,8.11
131,81.25,8.1
132,81.25,8.1
133,81.25,8.1
134,81.25,8.09
135,81.25,8.09
136,81.25,8.09
137,81.26,8.07
138,81.27,8.07
139,81.27,8.07
140,81.27,8.07
141,81.28,8.04
142,81.28,8.03
143,81.28,8.03
144,81.29,8.01
145,81.29,8.01
146,81.3,8.01
147,81.3,8.01
148,81.3,8.01
149,81.3,8
150,81.3,8
151,81.3,8
152,81.3,8
153,81.3,8
154,81.31,8
155,81.31,8
156,81.31,8
157,81.31,8
158,81.31,8
159,81.31,8
160,81.31,8
161,81.31,8
162,81.31,8
163,81.31,8
164,81.32,8
165,81.32,8
166,81.32,8
167,81.32,8
168,81.32,8
169,81.32,8
170,81.32,8
171,81.32,8
172,81.32,8
173,81.33,8
174,81.33,8
175,81.33,8
176,81.33,8
177,81.33,8
178,81.33,8
179,81.33,8
180,81.33,8
181,81.33,8
182,81.33,8
183,81.33,8
184,81.33,8
185,81.33,8
186,81.33,8
187,81.33,8
188,81.33,8
189,81.33,8
190,81.33,8
191,81.33,8
192,81.33,8
193,81.33,8
194,81.33,8
195,81.33,8
196,81.33,8
197,81.33,8
198,81.33,8
199,81.33,8
200,81.33,8
201,81.33,8
202,81.33,8
203,81.33,8
204,81.33,8
205,81.33,8
206,81.33,8
207,81.33,8
208,81.33,8
209,81.33,8
210,81.33,8
211,81.33,8
212,81.33,8
213,81.33,8
214,81.33,8
215,81.33,8
216,81.33,8
217,81.33,8
218,81.33,8
219,81.33,8
220,81.33,8
221,81.33,8
222,81.33,8
223,81.33,8
224,81.33,8
225,81.33,8
226,81.33,8
227,81.33,8
228,81.33,8
229,81.33,8
230,81.33,8
231,81.33,8
232,81.33,8
233,81.33,8
234,81.33,8
235,81.33,8
236,81.33,8
237,81.32,8
238,81.32,8
239,81.27,8
240,81.25,8
241,81.18,8
242,81.14,8
243,81.1,8
244,81.06,8
245,80.94,7.99
246,80.88,7.99
247,80.81,7.99
248,80.81,7.99
249,80.81,7.99
250,80.81,7.99
251,80.79,7.99
252,80.79,7.99
253,80.78,7.99
254,80.78,7.99
255,80.63,7.98
256,80.47,7.98
257,80.47,7.98
258,80.47,7.98
259,80.47,7.98
260,80.29,7.97
261,80.29,7.97
262,80.29,7.97
263,80.11,7.97
264,80.11,7.97
265,80.02,7.97
266,79.93,7.96
267,79.93,7.96
268,79.93,7.96
269,79.76,7.96
270,79.58,7.95
271,79.58,7.95
272,79.5,7.95
273,79.33,7.95
274,79.33,7.95
275,79.17,7.94
276,78.94,7.94
277,78.94,7.94
278,78.87,7.93
279,78.87,7.93
280,78.8,7.93
281,78.74,7.93
282,78.61,7.93
283,78.61,7.93
284,78.54,7.93
285,78.44,7.92
286,78.39,7.92
287,78.34,7.92
288,78.29,7.92
289,78.29,7.92
290,78.21,7.92
291,78.21,7.92
292,78.19,7.92
293,78.16,7.92
294,78.09,7.92
295,78.06,7.92
296,78.06,7.92
297,78.06,7.92
298,78.03,7.92
299,78.03,7.92
300,78.01,7.92
301,78.01,7.92
302,77.93,7.92
303,77.88,7.92
304,77.87,7.92
305,77.87,7.92
306,77.87,7.92
307,77.87,7.92
308,77.87,7.92
309,77.87,7.92
310,77.87,7.92
311,77.87,7.92
312,77.87,7.92
313,77.84,7.92
314,77.84,7.92
315,77.81,7.92
316,77.79,7.92
317,77.78,7.92
318,77.76,7.92
319,77.75,7.92
320,77.74,7.92
321,77.74,7.92
322,77.73,7.92
323,77.71,7.92
324,77.7,7.92
325,77.68,7.92
326,77.67,7.92
327,77.67,7.92
328,77.66,7.92
329,77.66,7.92
330,77.65,7.92
331,77.64,7.93
332,77.64,7.93
333,77.63,7.93
334,77.63,7.93
335,77.62,7.93
336,77.62,7.93
337,77.61,7.93
338,77.6,7.93
339,77.6,7.93
340,77.6,7.93
341,77.6,7.93
342,77.6,7.93
343,77.59,7.93
344,77.59,7.93
345,77.58,7.93
346,77.58,7.93
347,77.57,7.93
348,77.57,7.93
349,77.57,7.93
350,77.57,7.93
351,77.57,7.93
352,77.57,7.93
353,77.56,7.94
354,77.56,7.94
355,77.56,7.94
356,77.55,7.94
357,77.55,7.94
358,77.55,7.94
359,77.55,7.94
360,77.55,7.94
361,77.55,7.94
362,77.54,7.94
363,77.54,7.94
364,77.54,7.94
365,77.53,7.94
366,77.53,7.94
367,77.53,7.94
368,77.53,7.94
369,77.53,7.94
370,77.53,7.94
371,77.53,7.94
372,77.53,7.94
373,77.53,7.94
374,77.53,7.94
375,77.52,7.94
376,77.52,7.94
377,77.52,7.94
378,77.52,7.94
379,77.52,7.94
380,77.52,7.94
381,77.52,7.94
382,77.52,7.94
383,77.52,7.94
384,77.52,7.94
385,77.52,7.94
386,77.52,7.94
387,77.52,7.94
388,77.52,7.94
389,77.52,7.94
390,77.52,7.94
391,77.52,7.94
392,77.52,7.94
393,77.52,7.94
394,77.52,7.94
395,77.52,7.94
396,77.52,7.94
397,77.52,7.94
398,77.52,7.94
399,77.52,7.94
400,77.52,7.94
401,77.52,7.94
402,77.52,7.94
403,77.52,7.94
404,77.52,7.94
405,77.52,7.94
406,77.52,7.94
407,77.52,7.94
408,77.52,7.94
409,77.52,7.94
410,77.52,7.94
411,77.52,7.94
412,77.52,7.94
413,77.52,7.94
414,77.52,7.94
415,77.52,7.94
416,77.52,7.94
417,77.52,7.94
418,77.52,7.94
419,77.52,7.94
420,77.52,7.94
421,77.52,7.94
422,77.52,7.94
423,77.52,7.94
424,77.52,7.94
425,77.52,7.94
426,77.52,7.94
427,77.52,7.94
428,77.52,7.94
429,77.52,7.94
430,77.52,7.94
431,77.52,7.94
432,77.52,7.94
433,77.52,7.94
434,77.52,7.94
435,77.52,7.94
436,77.52,7.94
437,77.52,7.94
438,77.52,7.94
439,77.52,7.94
440,77.51,7.96
441,77.51,7.96
442,77.51,7.96
443,77.51,7.97
444,77.51,7.99
445,77.51,8.05
446,77.51,8.08
447,77.51,8.11
448,77.51,8.11
449,77.5,8.14
450,77.49,8.17
451,77.49,8.17
452,77.47,8.24
453,77.47,8.24
454,77.45,8.29
455,77.43,8.33
456,77.43,8.33
457,77.39,8.41
458,77.39,8.41
459,77.36,8.49
460,77.36,8.49
461,77.32,8.58
462,77.32,8.58
463,77.29,8.65
464,77.29,8.65
465,77.27,8.69
466,77.23,8.8
467,77.21,8.84
468,77.21,8.84
469,77.2,8.87
470,77.2,8.87
471,77.2,8.87
472,77.19,8.88
473,77.19,8.88
474,77.18,8.9
475,77.17,8.91
476,77.16,8.94
477,77.15,8.95
478,77.15,8.95
479,77.14,8.96
480,77.14,8.96
481,77.14,8.96
482,77.14,8.96
483,77.13,8.98
484,77.11,9
485,77.11,9
486,77.1,9.03
487,77.08,9.05
488,77.08,9.05
489,77.08,9.05
490,77.07,9.06
491,77.07,9.06
492,77.06,9.08
493,77.05,9.08
494,77.05,9.09
495,77.05,9.09
496,77.05,9.09
497,77.04,9.09
498,77.04,9.09
499,77.04,9.09
500,77.04,9.1
501,77.03,9.11
502,77.02,9.12
503,77.02,9.12
504,77.01,9.13
505,77.01,9.13
506,77.01,9.13
507,77.01,9.13
508,77.01,9.13
509,77,9.14
510,77,9.14
511,77,9.14
512,76.99,9.14
513,76.99,9.14
514,76.99,9.15
515,76.99,9.15
516,76.98,9.15
517,76.98,9.15
518,76.98,9.15
519,76.98,9.16
520,76.98,9.16
521,76.98,9.16
522,76.97,9.16
523,76.97,9.16
524,76.97,9.16
525,76.97,9.16
526,76.97,9.16
527,76.97,9.16
528,76.97,9.16
529,76.97,9.16
530,76.97,9.16
531,76.97,9.16
532,76.96,9.17
533,76.96,9.17
534,76.96,9.17
535,76.96,9.17
536,76.96,9.17
537,76.96,9.17
538,76.96,9.17
539,76.96,9.17
540,76.96,9.17
541,76.96,9.17
542,76.96,9.17
543,76.96,9.17
544,76.95,9.17
545,76.95,9.17
546,76.95,9.17
547,76.95,9.17
548,76.95,9.17
549,76.95,9.17
550,76.95,9.17
551,76.95,9.17
552,76.95,9.17
553,76.95,9.17
554,76.95,9.17
555,76.95,9.17
556,76.95,9.17
557,76.95,9.17
558,76.95,9.17
559,76.95,9.17
560,76.95,9.17
561,76.95,9.17
562,76.95,9.17
563,76.95,9.17
564,76.95,9.17
565,76.95,9.17
566,76.95,9.17
567,76.95,9.17
568,76.95,9.17
569,76.95,9.17
570,76.95,9.17
571,76.95,9.17
572,76.95,9.17
573,76.95,9.17
574,76.95,9.17
575,76.95,9.17
576,76.95,9.17
577,76.95,9.17
578,76.95,9.17
579,76.95,9.17
580,76.95,9.17
581,76.95,9.17
582,76.95,9.17
583,76.95,9.17
584,76.95,9.17
585,76.95,9.17
586,76.95,9.17
587,76.95,9.17
588,76.95,9.17
589,76.95,9.17
590,76.95,9.17
591,76.95,9.17
592,76.95,9.18
593,76.95,9.18
594,76.95,9.18
595,76.95,9.18
596,76.95,9.18
597,76.95,9.17
598,76.94,9.05
599,76.93,9
600,76.92,8.94
601,76.89,8.83
602,76.89,8.83
603,76.89,8.83
604,76.88,8.77
605,76.87,8.71
606,76.85,8.59
607,76.84,8.54
608,76.84,8.54
609,76.84,8.54
610,76.82,8.48
611,76.78,8.4
612,76.78,8.4
613,76.76,8.36
614,76.72,8.29
615,76.7,8.25
616,76.68,8.21
617,76.68,8.21
618,76.65,8.14
619,76.63,8.11
620,76.63,8.11
621,76.61,8.09
622,76.58,8.04
623,76.58,8.04
624,76.56,8.02
625,76.53,8
626,76.52,8
627,76.52,8
628,76.52,8
629,76.52,8
630,76.52,8
631,76.52,8
632,76.52,8
633,76.52,8
634,76.52,8
635,76.52,8
636,76.52,8
637,76.52,8
638,76.51,8
639,76.51,8
640,76.51,8
641,76.51,8
642,76.5,8
643,76.5,8
644,76.5,8
645,76.49,8
646,76.49,8
647,76.49,8
648,76.49,8
649,76.48,8.02
650,76.47,8.02
651,76.47,8.02
652,76.47,8.02
653,76.46,8.03
654,76.45,8.04
655,76.45,8.04
656,76.45,8.04
657,76.45,8.04
658,76.44,8.05
659,76.43,8.05
660,76.41,8.07
661,76.4,8.08
662,76.39,8.08
663,76.39,8.08
664,76.38,8.09
665,76.36,8.1
666,76.36,8.1
667,76.35,8.11
668,76.34,8.12
669,76.33,8.12
670,76.33,8.12
671,76.33,8.12
672,76.33,8.12
673,76.31,8.13
674,76.31,8.13
675,76.31,8.13
676,76.31,8.13
677,76.31,8.13
678,76.3,8.14
679,76.29,8.14
680,76.29,8.14
681,76.29,8.15
682,76.29,8.15
683,76.27,8.15
684,76.27,8.15
685,76.27,8.15
686,76.27,8.16
687,76.26,8.16
688,76.26,8.16
689,76.26,8.16
690,76.25,8.16
691,76.25,8.17
692,76.25,8.17
693,76.25,8.17
694,76.24,8.17
695,76.24,8.17
696,76.24,8.17
697,76.23,8.17
698,76.23,8.17
699,76.23,8.18
700,76.23,8.18
701,76.22,8.18
702,76.22,8.18
703,76.22,8.18
704,76.22,8.18
705,76.22,8.18
706,76.22,8.18
707,76.21,8.18
708,76.21,8.18
709,76.21,8.18
710,76.21,8.18
711,76.21,8.18
712,76.2,8.18
713,76.2,8.18
714,76.2,8.18
715,76.2,8.18
716,76.2,8.18
717,76.2,8.18
718,76.2,8.18
719,76.2,8.18
720,76.2,8.18
721,76.19,8.18
722,76.19,8.18
723,76.19,8.18
724,76.19,8.18
